fechas,INPC,Inflación
1978-10-01,0.040034418627922,0.1686216452234126
1978-11-01,0.040446313782379,0.16787532834845642
1978-12-01,0.040789323166206,0.16170038726543234
1979-01-01,0.042237421533746,0.1767763157367479
1979-02-01,0.042844504263327,0.1767974762846647
1979-03-01,0.043425751591141,0.18047753341522688
1979-04-01,0.043814686549672,0.17795260939261914
1979-05-01,0.044388763996484,0.18180437661459514
1979-06-01,0.044881030200883,0.1786966430679151
1979-07-01,0.045424962028217,0.17308469294010154
1979-08-01,0.046112415808492,0.17908250815949112
1979-09-01,0.046677878001232,0.1800732728109551
1979-10-01,0.047493063416521,0.1863058099561603
1979-11-01,0.048104451183965,0.18934079982642027
1979-12-01,0.048955511907266,0.20020407565442744
1980-01-01,0.051342222289501,0.21556241894360495
1980-02-01,0.052529117335026,0.22604096460484913
1980-03-01,0.053609811109442,0.23451659775944034
1980-04-01,0.054546982931667,0.24494746458651417
1980-05-01,0.055436799348669,0.2488926105953324
1980-06-01,0.056536148282649,0.2596891833721031
1980-07-01,0.058114848311197,0.2793593151513769
1980-08-01,0.059318963504417,0.2863989549099464
1980-09-01,0.059977717037532,0.28492809882979175
1980-10-01,0.0608861834335,0.2820016030450472
1980-11-01,0.061942481999369,0.28766632764364064
1980-12-01,0.063567107601118,0.29846681455461077
1981-01-01,0.065615113636637,0.27799519986992594
1981-02-01,0.067226824128553,0.2798011377154188
1981-03-01,0.06866487222865,0.280826602587235
1981-04-01,0.070213436998918,0.287210276815437
1981-05-01,0.071275470432418,0.2857068097335831
1981-06-01,0.07227148812053,0.2783235207183399
1981-07-01,0.07354449426498,0.26550264523034395
1981-08-01,0.075060048571128,0.2653634543958088
1981-09-01,0.076456481314983,0.2747481079871572
1981-10-01,0.078152867893203,0.2835895351949871
1981-11-01,0.079656936920789,0.2859823234335437
1981-12-01,0.081801099141325,0.28684633025345163
1982-01-01,0.085865535761614,0.30862435500942165
1982-02-01,0.089239653758489,0.3274411652682334
1982-03-01,0.092498950048831,0.3471072914956417
1982-04-01,0.097512043769908,0.3887946230492989
1982-05-01,0.102993008486838,0.4449993505759313
1982-06-01,0.107954431404381,0.49373472460316803
1982-07-01,0.113517202183875,0.5435173403310625
1982-08-01,0.126255878883947,0.6820649771403369
1982-09-01,0.132995499622874,0.7394928112760424
1982-10-01,0.139890117231354,0.789955007441516
1982-11-01,0.146962697086664,0.8449453715852016
1982-12-01,0.162656416386952,0.9884380294931734
1983-01-01,0.180355086174049,1.1004362760253845
1983-02-01,0.190033959196015,1.1294788941058376
1983-03-01,0.199232046112296,1.1538844063323928
1983-04-01,0.211845861201845,1.1725097025114364
1983-05-01,0.221033903032033,1.1461058986375763
1983-06-01,0.22940388942169,1.125006694374385
1983-07-01,0.240746133378659,1.1207898780723893
1983-08-01,0.250090607091021,0.9808234618595584
1983-09-01,0.257787495004958,0.938317429807384
1983-10-01,0.266341178510578,0.9039313411260914
1983-11-01,0.281983237367781,0.9187402174682144
1983-12-01,0.294047380580263,0.8077822388557856
1984-01-01,0.312727717931516,0.7339556347732981
1984-02-01,0.329232317610734,0.7324920188140667
1984-03-01,0.343304281333764,0.7231378587572328
